station_id,n_years,days_below_trend,days_below_p,days_below_sen,nm7q_trend,nm7q_p,nm7q_sen,min_year,days_below_p_fdr,nm7q_p_fdr
DESM_DEHE25650156,33,no trend,1.0,0.0,no trend,0.7827940862749598,0.00037992038920831473,2020,1.0,0.8289766282380843
DESM_DEHE25822251,34,no trend,0.40782855853633215,0.0,no trend,0.5876087946102937,-0.0001298701298701289,2019,0.4753586120602053,0.6510850532873316
DESM_DEHE25871756,34,no trend,0.45524735546343287,0.0,no trend,0.7684569726000503,0.00048809523809523653,2022,0.5221527176082185,0.8186233031555432
DESM_DEHE41850054,34,increasing,0.00010061765701130376,2.3684210526315788,decreasing,0.004575723489820938,-0.00535204081632653,2022,0.0007082693895501578,0.013464628957751775
DESM_DEHE42410104,33,no trend,0.18900350850385061,0.10263157894736842,no trend,0.09486107679233946,-0.0008027210884353749,2022,0.24673548928320863,0.13676757658011993
DESM_DEHE42780500,34,increasing,0.0016587929246176802,2.0714285714285716,decreasing,0.02890995589641987,-0.002480519480519482,2022,0.005463363852639883,0.05112647372815139
DESM_DEHE42840453,34,no trend,0.14102919353281584,0.5,no trend,0.3289911279552147,-0.0021168831168830826,2022,0.1910546433142675,0.39500941450141164
DESM_DEHE42881009,33,increasing,0.0010523104069191103,2.0,decreasing,0.001565774864560776,-0.0015729591836734628,2025,0.0037575064028660113,0.006062411555925275
DESM_DEHE44840308,34,increasing,0.004575723489820938,0.35294117647058826,decreasing,0.001843338256175775,-0.0015882352941176468,2022,0.011650246332239125,0.006617584339671032
DESM_DEMV04408.1,34,increasing,0.00008851722466984846,2.1538461538461537,decreasing,0.0003878433774808787,-0.02474404761904762,2023,0.000676120928861183,0.0024863530806363476
DESM_DEMV04803.5,34,increasing,0.008830286276187538,1.4230769230769231,no trend,0.06985553296057456,-0.013028571428571434,1995,0.01909682393464654,0.10581492123563825
DESM_DEMV04907.1,33,increasing,0.00029887973345732455,1.3819444444444444,decreasing,0.00903177754860196,-0.01469887955182074,2023,0.0016642542157968127,0.022208274931151396
DESM_DEMV58110.0,31,no trend,0.09609739816576468,0.0,no trend,0.9147523390847367,0.004238095238095239,2023,0.13635954917592696,0.9303005374827776
DESM_DEMV59810.0,34,no trend,0.1617337457174095,0.0,no trend,0.11759799116041258,-0.007948051948051947,1992,0.21346475997261033,0.16427112383886427
DESM_DENW2581119000100,34,no trend,0.8645256143233861,0.0,no trend,0.5876087946102937,0.0002228571428571427,2018,0.89975313115111,0.6510850532873316
DESM_DENW2721390000100,34,no trend,0.08545429152509176,0.5714285714285714,no trend,0.3289911279552147,-0.0016015037593984968,2019,0.12370197845769332,0.39500941450141164
DESM_DENW2721770000200,34,no trend,0.16789391238547768,0.5416666666666666,no trend,0.41153015108926394,-0.007242857142857129,2019,0.22078356976698346,0.4828082491537443
DESM_DENW2725910000100,34,no trend,0.4856472470963893,0.2608695652173913,no trend,0.4294021898343492,-0.01755357142857139,2022,0.5499916773110529,0.5021348083079198
DESM_DENW2726900000100,30,no trend,1.0,0.0,no trend,0.778425914188847,-0.0009428571428571342,2018,1.0,0.826789654419515
DESM_DENW2728930000200,34,no trend,0.394107148810076,0.3888888888888889,no trend,0.6531878724354718,-0.01531818181818217,2019,0.4623675373294683,0.7127490766089192
DESM_DENW2729100000100,34,no trend,0.4294021898343492,0.35714285714285715,no trend,0.5664461417662239,-0.044857142857142485,2020,0.4969363190995919,0.633332440632741
DESM_DENW2736510000100,33,increasing,9.551213337788411e-6,5.017857142857142,decreasing,0.000011094687683677051,-0.054139499389499385,2022,0.00018046766254031787,0.0002776962079893419
DESM_DENW2736790000200,34,increasing,0.0000402535754033817,2.6666666666666665,decreasing,5.629081329283636e-6,-0.09168571428571429,2025,0.0004250303991121774,0.00020208401972128252
DESM_DENW2736879000200,34,increasing,0.0003059631705921717,1.3076923076923077,decreasing,0.03126187277687831,-0.0063109243697478615,2021,0.0016642542157968127,0.05448064236358889
DESM_DENW2743000000100,31,no trend,0.7889625304181636,0.0,no trend,0.8865048064138312,-0.0010535714285714315,2025,0.850563208468831,0.9171620331486035
DESM_DENW2747900000200,31,increasing,0.0021502307218466132,0.43478260869565216,decreasing,0.0010279989595816108,-0.058053571428571704,2018,0.006432773576191118,0.0046715395758202315
DESM_DENW2761510000100,34,increasing,0.000052537565951693566,2.5789473684210527,decreasing,0.00010061765701130376,-0.04151428571428571,2019,0.0005097563831529187,0.001128804339595564
DESM_DENW2765590000100,33,increasing,0.0019526409550858492,0.6172161172161172,decreasing,0.031022165815888902,-0.019999999999999817,2021,0.006043087093757067,0.05448064236358889
DESM_DENW2766930000100,31,increasing,5.853255202081797e-6,2.642857142857143,decreasing,0.00015538682123561465,-0.07587755102040816,2019,0.00015597968468531083,0.0014939270676097792
DESM_DENW2768897000100,30,no trend,1.0,0.0,no trend,0.6661517985372294,0.003084033613445375,1996,1.0,0.7246924111359556
DESM_DENW2768900000100,32,increasing,0.014385749502058731,1.2970588235294118,decreasing,0.0009761747063838921,-0.020232504337767493,2022,0.028691578173550468,0.004492906661433554
DESM_DENW2782370000100,32,increasing,0.00035800799918561665,2.5584415584415585,decreasing,0.0034624952577932966,-0.0074749999999999895,2018,0.001836069595823377,0.010715825840929253
DESM_DENW2783390000100,34,increasing,6.5172570202776114e-6,3.0,decreasing,0.000017710898882361548,-0.0627346938775511,2022,0.00015597968468531083,0.00031791063493838976
